,prob_stimulus,Run,voters
0,0.0,0,23
1,0.0,1,15
2,0.0,2,10
3,0.027777777777777776,3,8
4,0.027777777777777776,4,11
5,0.027777777777777776,5,10
6,0.05555555555555555,6,14
7,0.05555555555555555,7,11
8,0.05555555555555555,8,14
9,0.08333333333333333,9,11
10,0.08333333333333333,10,17
11,0.08333333333333333,11,14
12,0.1111111111111111,12,12
13,0.1111111111111111,13,10
14,0.1111111111111111,14,18
15,0.1388888888888889,15,12
16,0.1388888888888889,16,9
17,0.1388888888888889,17,15
18,0.16666666666666666,18,20
19,0.16666666666666666,19,12
20,0.16666666666666666,20,16
21,0.19444444444444442,21,13
22,0.19444444444444442,22,17
23,0.19444444444444442,23,15
24,0.2222222222222222,24,15
25,0.2222222222222222,25,14
26,0.2222222222222222,26,11
27,0.25,27,14
28,0.25,28,15
29,0.25,29,14
