,prob_interaction,Run,voters
0,0.0,0,5
1,0.0,1,6
2,0.027777777777777776,2,4
3,0.027777777777777776,3,7
4,0.05555555555555555,4,8
5,0.05555555555555555,5,10
6,0.08333333333333333,6,10
7,0.08333333333333333,7,11
8,0.1111111111111111,8,7
9,0.1111111111111111,9,10
10,0.1388888888888889,10,6
11,0.1388888888888889,11,5
12,0.16666666666666666,12,4
13,0.16666666666666666,13,3
14,0.19444444444444442,14,7
15,0.19444444444444442,15,11
16,0.2222222222222222,16,10
17,0.2222222222222222,17,3
18,0.25,18,7
19,0.25,19,13
