,prob_move,Run,voters
0,0.0,0,4
1,0.0,1,11
2,0.011111111111111112,2,9
3,0.011111111111111112,3,6
4,0.022222222222222223,4,9
5,0.022222222222222223,5,5
6,0.03333333333333333,6,6
7,0.03333333333333333,7,10
8,0.044444444444444446,8,8
9,0.044444444444444446,9,6
10,0.05555555555555556,10,6
11,0.05555555555555556,11,11
12,0.06666666666666667,12,7
13,0.06666666666666667,13,8
14,0.07777777777777778,14,6
15,0.07777777777777778,15,7
16,0.08888888888888889,16,12
17,0.08888888888888889,17,6
18,0.1,18,5
19,0.1,19,10
