,prob_stimulus,Run,voters
0,0.0,0,21
1,0.0,1,11
2,0.027777777777777776,2,10
3,0.027777777777777776,3,6
4,0.05555555555555555,4,9
5,0.05555555555555555,5,11
6,0.08333333333333333,6,12
7,0.08333333333333333,7,9
8,0.1111111111111111,8,9
9,0.1111111111111111,9,7
10,0.1388888888888889,10,6
11,0.1388888888888889,11,6
12,0.16666666666666666,12,4
13,0.16666666666666666,13,8
14,0.19444444444444442,14,8
15,0.19444444444444442,15,6
16,0.2222222222222222,16,7
17,0.2222222222222222,17,8
18,0.25,18,6
19,0.25,19,9
